"","season","title","original_air_date","episode_num_in_season","episode_num_overall","directed_by","written_by","prod_code","us_viewers","episode_num","imdb_rating","total_votes","desc"
"34",2,"Celebrity Pharmacology",2011-01-27,13,38,"Fred Goss","Hilary Winston",212,4590000,13,7.9,3109,"Pierce bribes Annie into getting him a bigger role in her anti-drug play, Jeff gets in trouble when he sends a lewd text message from Britta's phone, and Shirley rejects Chang's attempts to be friendly to her."
"35",2,"Competitive Wine Tasting",2011-04-14,20,45,"Joe Russo","Emily Cutler",219,3490000,20,7.5,2941,"Jeff suspects something isn't quite right when an attractive classmate gets engaged to marry Pierce ."
"36",2,"Conspiracy Theories and Interior Design",2010-11-18,9,34,"Adam Davidson","Chris McKenna",210,4410000,9,9.4,5378,"Dean Pelton tries to bust Jeff for a phony night school credit, which only unveils a series of conspiracies, plots, and double-crosses between Jeff, Annie, and the dean."
"37",2,"Cooperative Calligraphy",2010-11-11,8,33,"Joe Russo","Megan Ganz",208,4530000,8,9.1,4407,"Chaos and mistrust tear the study group apart as they try to figure out who stole Annie's pen, causing them to miss the Greendale Puppy Parade."
"38",2,"Critical Film Studies",2011-03-24,19,44,"Richard Ayoade","Sona Panos",218,4460000,19,9,4202,"Jeff's ""Pulp Fiction""-themed surprise party for Abed is spoiled when Abed tells him over dinner that he's done with pop culture."
"39",2,"Custody Law and Eastern European Diplomacy",2011-03-17,18,43,"Anthony Russo","Andy Bobrow",217,4150000,18,7.4,2985,"Jeff uses Shirley's parental rights waiver against Chang as a way to get Chang out of the apartment, while Britta is afraid to tell Abed and Troy that their new friend is a war criminal."
"40",2,"Early 21st Century Romanticism",2011-02-10,15,40,"Steven Sprung","Karey Dornetto",213,3810000,15,8,3114,"Jeff hangs out with Professor Duncan after a fight with the study group, but Chang tags along and starts a party. Meanwhile, Abed and Troy fight for a librarian's affection, and Britta goes to a dance with a girl she thinks is a lesbian."
"41",2,"Epidemiology",2010-10-28,6,31,"Anthony Hemingway","Karey Dornetto",206,5640000,6,9.3,5249,"The study group is left to fend for themselves by Dean Pelton during a rabies outbreak due to tainted food at Greendale's Halloween party."
"42",2,"For a Few Paintballs More",2011-05-12,24,49,"Joe Russo","Hilary Winston",224,3320000,24,9.6,5593,"When the study group learns that there's a sinister plot behind the paintball tournament, they unite the remaining players to defeat the enemy."
"43",2,"Intermediate Documentary Filmmaking",2011-02-17,16,41,"Joe Russo","Megan Ganz",215,4110000,16,8.8,3597,"Pierce pretends to be dying so that he can bequeath a series of cryptic and sometimes mean-spirited gifts to his study partners, and Abed decides to shoot a documentary film of the situation."
